"Genotype","Year","Experiment","Dpi","Phenotype"
457057,2015,1,5,1.875
457058,2015,1,5,2
457059,2015,1,5,1.125
455096,2015,1,6,4
455097,2015,1,6,4.125
455098,2015,1,6,1.625
455099,2015,1,6,5
455100,2015,1,6,5
455102,2015,1,6,3.75
455103,2015,1,6,NA
455104,2015,1,6,1.428571429
455105,2015,1,6,1.125
455106,2015,1,6,1.285714286
455107,2015,1,6,4.75
455108,2015,1,6,1.142857143
455109,2015,1,6,3.142857143
455110,2015,1,6,3.5
456001,2015,1,6,1.571428571
456002,2015,1,6,2
456003,2015,1,6,2
456004,2015,1,6,2.571428571
456005,2015,1,6,2.857142857
456007,2015,1,6,1
456008,2015,1,6,1.875
456009,2015,1,6,2.25
456010,2015,1,6,2.125
456011,2015,1,6,1.125
456012,2015,1,6,1.571428571
456013,2015,1,6,1.625
456014,2015,1,6,2.5
456015,2015,1,6,5
456016,2015,1,6,3.571428571
456017,2015,1,6,3.142857143
456018,2015,1,6,3.5
456019,2015,1,6,4.75
456020,2015,1,6,1.285714286
456022,2015,1,6,2.125
456023,2015,1,6,3.375
456024,2015,1,6,1
456025,2015,1,6,1.75
456026,2015,1,6,2
456027,2015,1,6,1.857142857
456028,2015,1,6,3
456029,2015,1,6,1.75
456030,2015,1,6,5
456031,2015,1,6,1.714285714
456032,2015,1,6,4.25
456033,2015,1,6,1.625
456034,2015,1,6,2.75
456035,2015,1,6,1.5
456037,2015,1,6,4.285714286
456038,2015,1,6,1
456039,2015,1,6,3.375
456040,2015,1,6,3
456041,2015,1,6,2.375
456042,2015,1,6,4.25
456044,2015,1,6,2.714285714
456045,2015,1,6,2.75
456046,2015,1,6,3.285714286
456047,2015,1,6,1
456048,2015,1,6,4.375
456049,2015,1,6,1.142857143
456050,2015,1,6,4.625
456052,2015,1,6,3
456053,2015,1,6,1.5
456054,2015,1,6,1.285714286
456056,2015,1,6,3.375
456057,2015,1,6,3.5
456058,2015,1,6,1.375
456059,2015,1,6,4.285714286
456060,2015,1,6,2.375
456062,2015,1,6,1
456063,2015,1,6,4.625
456064,2015,1,6,3.875
456065,2015,1,6,NA
456067,2015,1,6,4.166666667
456068,2015,1,6,4.25
456069,2015,1,6,2
456070,2015,1,6,1.5
456071,2015,1,6,4.428571429
456072,2015,1,6,2.166666667
456073,2015,1,6,1.125
456074,2015,1,6,3.142857143
456075,2015,1,6,3.625
456076,2015,1,6,2.75
456077,2015,1,6,1.875
456078,2015,1,6,4.428571429
456079,2015,1,6,4
456080,2015,1,6,2.285714286
456082,2015,1,6,3.5
456084,2015,1,6,2.333333333
456085,2015,1,6,2.857142857
456087,2015,1,6,2.5
456088,2015,1,6,4.285714286
456089,2015,1,6,4.857142857
456090,2015,1,6,3.166666667
456091,2015,1,6,1.857142857
456092,2015,1,6,NA
456093,2015,1,6,4.75
456094,2015,1,6,4.714285714
456095,2015,1,6,3.625
456101,2015,1,6,2.428571429
456102,2015,1,6,4.625
456103,2015,1,6,1.25
456105,2015,1,6,2.875
456106,2015,1,6,2.428571429
456107,2015,1,6,3.875
456109,2015,1,6,1.333333333
456110,2015,1,6,2.857142857
457002,2015,1,6,2.75
457003,2015,1,6,3.285714286
457004,2015,1,6,4.375
457005,2015,1,6,3.875
457006,2015,1,6,5
457007,2015,1,6,NA
457008,2015,1,6,3.25
457009,2015,1,6,2.875
457010,2015,1,6,4.5
457011,2015,1,6,3.571428571
457012,2015,1,6,4.5
457013,2015,1,6,3.875
457014,2015,1,6,3.857142857
457015,2015,1,6,2.875
457017,2015,1,6,3.25
457018,2015,1,6,2.25
457019,2015,1,6,2.75
457020,2015,1,6,4.428571429
457021,2015,1,6,2
457022,2015,1,6,2.875
457023,2015,1,6,4.375
457024,2015,1,6,2.125
457025,2015,1,6,3.857142857
457026,2015,1,6,2
457027,2015,1,6,4
457028,2015,1,6,3.125
457029,2015,1,6,4.5
457030,2015,1,6,1.125
457032,2015,1,6,3.5
457033,2015,1,6,1
457034,2015,1,6,4
457035,2015,1,6,1.375
457036,2015,1,6,4.833333333
457037,2015,1,6,2.625
457038,2015,1,6,4.75
457039,2015,1,6,3.375
457040,2015,1,6,4.875
457041,2015,1,6,3.625
457042,2015,1,6,2.142857143
457043,2015,1,6,4.625
457044,2015,1,6,4.571428571
457045,2015,1,6,4.5
457051,2015,1,6,3.25
457052,2015,1,6,3.333333333
457053,2015,1,6,2
457055,2015,1,6,2.5
457056,2015,1,6,1
457057,2015,1,6,2.5
457058,2015,1,6,3.285714286
457059,2015,1,6,1.125
455096,2015,1,7,3.833333333
455097,2015,1,7,4.125
455098,2015,1,7,1.5
455099,2015,1,7,5
455100,2015,1,7,5
455102,2015,1,7,4
455103,2015,1,7,NA
455104,2015,1,7,1.857142857
455105,2015,1,7,1.25
455106,2015,1,7,1.571428571
455107,2015,1,7,4.875
455108,2015,1,7,1.142857143
455109,2015,1,7,3.428571429
455110,2015,1,7,3.5
456001,2015,1,7,1.714285714
456002,2015,1,7,2
456003,2015,1,7,2.428571429
456004,2015,1,7,2.428571429
456005,2015,1,7,2.857142857
456007,2015,1,7,1.142857143
456008,2015,1,7,1.625
456009,2015,1,7,2.375
456010,2015,1,7,2.25
456011,2015,1,7,1.625
456012,2015,1,7,2.285714286
456013,2015,1,7,1.875
456014,2015,1,7,2.5
456015,2015,1,7,5
456016,2015,1,7,3.571428571
456017,2015,1,7,3.571428571
456018,2015,1,7,3.5
456019,2015,1,7,4.75
456020,2015,1,7,1.857142857
456022,2015,1,7,2.375
456023,2015,1,7,3.5
456024,2015,1,7,1
456025,2015,1,7,2.125
456026,2015,1,7,2.125
456027,2015,1,7,2.142857143
456028,2015,1,7,3.375
456029,2015,1,7,2
456030,2015,1,7,5
456031,2015,1,7,1.714285714
456032,2015,1,7,4.625
456033,2015,1,7,1.5
456034,2015,1,7,2.75
456035,2015,1,7,1.625
456037,2015,1,7,4.428571429
456038,2015,1,7,1
456039,2015,1,7,3.5
456040,2015,1,7,3.5
456041,2015,1,7,2.25
456042,2015,1,7,4.25
456044,2015,1,7,3.142857143
456045,2015,1,7,3.25
456046,2015,1,7,3.142857143
456047,2015,1,7,1
456048,2015,1,7,4
456049,2015,1,7,1.142857143
456050,2015,1,7,4.75
456052,2015,1,7,3
456053,2015,1,7,2
456054,2015,1,7,1.142857143
456056,2015,1,7,3.625
456057,2015,1,7,3.5
456058,2015,1,7,1.625
456059,2015,1,7,4.428571429
456060,2015,1,7,3
456062,2015,1,7,1
456063,2015,1,7,4.75
456064,2015,1,7,4.375
456065,2015,1,7,NA
456067,2015,1,7,4.666666667
456068,2015,1,7,4.375
456069,2015,1,7,2.5
456070,2015,1,7,1.625
456071,2015,1,7,4.428571429
456072,2015,1,7,3.166666667
456073,2015,1,7,1.25
456074,2015,1,7,3
456075,2015,1,7,4.125
456076,2015,1,7,2.75
456077,2015,1,7,2.25
456078,2015,1,7,4.714285714
456079,2015,1,7,4.6
456080,2015,1,7,2.714285714
456082,2015,1,7,4.125
456084,2015,1,7,3.166666667
456085,2015,1,7,3.571428571
456087,2015,1,7,2.625
456088,2015,1,7,4.285714286
456089,2015,1,7,5
456090,2015,1,7,3.833333333
456091,2015,1,7,1.857142857
456092,2015,1,7,NA
456093,2015,1,7,4.75
456094,2015,1,7,4.714285714
456095,2015,1,7,3.5
456101,2015,1,7,2.714285714
456102,2015,1,7,4.75
456103,2015,1,7,1.25
456105,2015,1,7,3.5
456106,2015,1,7,2.571428571
456107,2015,1,7,4
456109,2015,1,7,1.5
456110,2015,1,7,2.857142857
457002,2015,1,7,2.75
457003,2015,1,7,3.285714286
457004,2015,1,7,4.5
457005,2015,1,7,4
457006,2015,1,7,5
457007,2015,1,7,NA
